script,analysis/code_genealogy.py,analysis/generate_script_catalog.py,attention_probe.py,audit_configs.py,base_general.py,benchmark_hidden_transfer.py,benchmark_ppn_transport.py,benchmark_vllm_generation.py,build_coverage_queue.py,build_dataset.py,build_deciepoch_subset.py,build_mahalanobis.py,build_score_filtered_dataset.py,build_teacher_cache.py,cache_generation_gate.py,cache_null_probe.py,chain_ppp8_when_ready.sh,compare_lora_checkpoints.py,compare_v3_deltas.py,compare_v4_shard_numerics.py,conclusion_check.py,convert_deepseek_native_to_hf.py,convert_responses_tokenizer.py,cpu_watch.sh,delta_profiles.py,demo_35b_answers.sh,demo_deepseek_bf16.sh,demo_deepseek_retry.sh,demos/ppn_demo.sh,demos/ppn_partition_demo.py,demos/ppn_partition_readable.py,demos/ppn_stage_demo.py,demos/ppp_demo.sh,demos/ppp_independent_stage_demo.py,dequantize_snapshot.py,destruct_eval.py,download_mlt2.sh,evaluate.py,evaluate_v31_4b_full_standard.sh,evaluate_vllm_mixed_result.py,fetch_poem.py,fetch_quijote.py,forget_curves.py,frontier_recall.py,fuse_experts_snapshot.py,gen_pareto_v2_screen.py,generate.py,gpu_health.sh,gpu_lease.sh,gpu_scheduler.sh,gpu_speed_backfill.sh,gpu_util_monitor.sh,gpu_watchdog.sh,grid_tile_bench.py,group_reports_v2.py,hourly_evidence_check.sh,l40s_exec.sh,l40s_setup.sh,l40s_train_v3.sh,l40s_vllm_teacher_campaign.sh,launch_dsflash_ppp8x.sh,launch_g31b_ppp5x.sh,launch_g31b_ppp8x.sh,launch_g31b_v4.sh,launch_q0p6b_ppp2x_test.sh,launch_q0p6b_ppp3x_test.sh,launch_q122b_ppp8x.sh,launch_q122b_ppp8x_adam.sh,launch_q122b_ppp8x_evalin.sh,launch_q397b_ppp8x.sh,launch_q397b_ppp8x_adam.sh,launch_v32r_score100_campaign.sh,launch_v4_stages.sh,layer_delta_timeline.py,layer_loss_plots.py,layer_swap.py,logit_lens.py,lossgrid_health_monitor.sh,lossgrid_report.py,lossgrid_visuals.py,memory_plan.py,merge_v4_adapters.py,model_matrix.py,moe_router_probe.py,overnight_27b_online.sh,parallel_bench.py,pipeline_tail.sh,ppn_partition.py,premise_gate.py,qualitative_chat_review.py,rag_generation_gate.py,recite_long.py,refresh_report_v2_index.py,refresh_v31_0p8b_full_damage_reports.sh,refresh_v31_reports.sh,render_programmer_walkthrough.py,report_pdf_v2.py,report_shipper.sh,report_v2.py,results_refresher.sh,retention_eval.py,run_m1_legs.sh,run_speed_check_monitored.sh,sample_gpu_telemetry.sh,sample_process_telemetry.sh,sanity_chat.py,shell_helpers.py,signal_attribution.py,slurm_h100.sbatch,smoke_family.py,spec_verify_122b.sbatch,spec_verify_batch.sbatch,spec_verify_matrix.sh,speed_check.py,stage_hf_cache.sh,stage_teacher_cache_shm.sh,standard_destruction_eval.py,stop_g31b_at25.sh,stop_v32r_score100_campaign.sh,summarize_standard_destruction.py,surprise_probe.py,tasks_report.py,teacher_ceiling.py,train.py,train_and_report.py,train_batch_bench.py,train_certify.py,train_oom_backoff.py,train_tuned_lens.py,v31_bk_cohort_probe.py,v31_bk_smoke.py,v3_smoke.py,v4_battery.py,v4_stage_reaper.sh,variants/_forward.py,variants/build_teacher_cache_answers.py,variants/build_teacher_cache_full.py,variants/build_teacher_cache_index.py,variants/destruct_base_fast.py,variants/destruct_base_full.py,variants/destruct_checkpoint_fast.py,variants/destruct_checkpoint_full.py,variants/evaluate_base.py,variants/evaluate_checkpoint.py,variants/evaluate_layer_residuals.py,variants/logit_lens_raw.py,variants/logit_lens_tuned.py,variants/parallel_bench_pipeline_2gpu.py,variants/parallel_bench_single.py,variants/parallel_bench_tensor_2gpu.py,variants/smoke_family_all.py,variants/smoke_family_default.py,variants/smoke_family_selected.py,variants/standard_destruction_base.py,variants/standard_destruction_checkpoint.py,variants/teacher_ceiling_chapter_context.py,variants/teacher_ceiling_full_context.py,variants/teacher_ceiling_no_context.py,variants/teacher_ceiling_window_context.py,variants/train_certify_all.py,variants/train_certify_list.py,variants/train_certify_selected.py,vendor_standard_eval.py,venv_check.sh,venv_setup.sh,verify_vllm_teacher_forced.py,vllm_2node_smoke.py,vllm_h100_eager_shared_queue.sh,vllm_h100_mixed_budget_campaign.sh,vllm_h100_overnight_queue.sh,vllm_h100_qwen06_32k_capacity.sh,vllm_h100_qwen35_shared_queue.sh,vllm_h100_rest_of_day.sh,vllm_longdraft.py,vllm_prefill_verify.py,vram_guard.sh,wait_m1_then_g26b_e500.sh,warm_python_runtime.sh
analysis/code_genealogy.py,0.000000000,0.977011494,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.996168582,1.000000000,1.000000000,1.000000000,0.996168582,1.000000000,1.000000000,1.000000000,0.996168582,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.996168582,0.993127148,1.000000000,0.992337165,1.000000000,1.000000000,1.000000000,1.000000000,0.996168582,0.996168582,1.000000000,0.996168582,0.996168582,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.996168582,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.996168582,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.996168582,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.996168582,0.996168582,1.000000000,1.000000000,0.996168582,1.000000000,0.996168582,1.000000000,0.992337165,0.996168582,0.996168582,0.996168582,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.996168582,0.996168582,1.000000000,1.000000000,0.996168582,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.996168582,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.984674330,1.000000000,1.000000000,1.000000000,0.996168582,0.996168582,0.996168582,0.996168582,0.996168582,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.996168582
analysis/generate_script_catalog.py,0.977011494,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.991379310,1.000000000,1.000000000,1.000000000,0.991379310,1.000000000,1.000000000,1.000000000,0.995689655,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.995689655,0.982817869,0.996015936,0.991379310,1.000000000,0.995689655,1.000000000,1.000000000,0.991379310,0.987068966,1.000000000,0.991379310,0.991379310,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.995689655,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.991379310,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.995689655,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.995689655,0.995689655,1.000000000,1.000000000,0.995689655,1.000000000,0.995689655,1.000000000,0.987068966,0.995689655,0.991379310,0.991379310,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.991379310,0.995689655,1.000000000,1.000000000,0.995689655,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.995689655,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.987068966,1.000000000,1.000000000,1.000000000,0.987068966,0.991379310,0.991379310,0.995689655,0.987068966,1.000000000,1.000000000,1.000000000,1.000000000,0.995689655,0.995689655
attention_probe.py,1.000000000,1.000000000,0.000000000,0.934131737,0.945652174,0.869565217,0.891304348,0.932075472,0.901785714,0.872727273,0.913043478,0.834951456,0.869565217,0.981672394,0.902173913,0.913907285,1.000000000,0.902173913,0.902173913,0.880434783,0.891304348,0.924855491,0.891304348,1.000000000,0.858695652,1.000000000,1.000000000,1.000000000,1.000000000,0.902912621,0.968553459,0.924731183,1.000000000,0.923913043,0.919117647,0.902173913,1.000000000,0.941406250,1.000000000,0.891304348,0.945652174,0.924050633,0.862318841,0.869565217,0.931250000,0.869565217,0.944134078,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.941441441,0.916230366,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.877192982,0.896551724,0.826086957,0.771739130,1.000000000,0.923664122,0.889908257,0.924418605,0.913043478,0.897959184,0.860000000,1.000000000,0.900000000,1.000000000,0.923913043,0.978260870,0.915384615,0.923913043,0.869565217,0.978260870,1.000000000,1.000000000,0.943877551,0.927272727,1.000000000,0.977869986,1.000000000,0.978688525,1.000000000,1.000000000,1.000000000,1.000000000,0.847826087,0.923913043,0.826086957,1.000000000,0.927536232,1.000000000,1.000000000,1.000000000,0.911458333,1.000000000,1.000000000,0.964179104,1.000000000,1.000000000,0.913043478,0.861271676,0.946188341,0.940860215,0.869565217,0.891304348,0.944444444,0.943181818,0.923913043,0.836956522,0.925000000,0.939890710,0.939914163,0.908163265,1.000000000,0.945652174,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.891304348,1.000000000,1.000000000,0.926829268,0.902173913,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.902173913,0.911290323,1.000000000,1.000000000,1.000000000
audit_configs.py,1.000000000,1.000000000,0.934131737,0.000000000,0.982035928,0.922155689,0.928143713,0.852830189,0.802395210,0.832335329,0.904191617,0.844311377,0.910179641,0.941580756,0.934131737,0.862275449,1.000000000,0.910179641,0.922155689,0.856287425,0.862275449,0.861271676,0.928143713,1.000000000,0.898203593,1.000000000,1.000000000,1.000000000,1.000000000,0.820359281,0.836477987,0.820359281,1.000000000,0.892215569,0.832335329,0.898203593,1.000000000,0.835937500,1.000000000,0.880239521,0.892215569,0.838323353,0.832335329,0.946107784,0.844311377,0.886227545,0.826815642,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.837837838,0.827225131,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.826347305,0.850299401,0.946107784,0.928143713,1.000000000,0.802395210,0.886227545,0.901162791,0.886227545,0.850299401,0.880239521,1.000000000,0.864705882,1.000000000,0.922155689,0.988023952,0.820359281,0.910179641,0.898203593,0.988023952,1.000000000,1.000000000,0.826530612,0.868263473,1.000000000,0.923928077,1.000000000,0.901639344,1.000000000,1.000000000,1.000000000,1.000000000,0.934131737,0.916167665,0.946107784,1.000000000,0.880239521,1.000000000,1.000000000,1.000000000,0.833333333,1.000000000,1.000000000,0.823880597,1.000000000,1.000000000,0.868263473,0.884393064,0.820627803,0.833333333,0.934131737,0.898203593,0.856481481,0.833333333,0.916167665,0.892215569,0.868263473,0.874316940,0.841201717,0.874251497,1.000000000,0.958083832,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.910179641,1.000000000,1.000000000,0.868263473,0.934131737,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.904191617,0.838323353,1.000000000,1.000000000,1.000000000
base_general.py,1.000000000,1.000000000,0.945652174,0.982035928,0.000000000,0.937500000,0.925000000,0.981132075,0.964285714,0.954545455,0.951612903,0.941747573,0.937500000,0.994272623,0.888888889,0.966887417,1.000000000,0.934426230,0.967741935,0.940298507,0.955223881,0.965317919,0.902439024,1.000000000,0.945454545,1.000000000,1.000000000,1.000000000,1.000000000,0.980582524,0.993710692,0.967741935,1.000000000,0.946428571,0.970588235,0.931818182,1.000000000,0.976562500,1.000000000,0.946666667,0.935483871,0.981012658,0.971014493,0.888888889,0.975000000,0.967741935,0.988826816,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.977477477,0.984293194,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.964912281,0.979310345,0.893617021,0.930555556,1.000000000,0.969465649,0.990825688,0.970930233,0.941176471,0.969387755,0.950000000,1.000000000,0.970588235,1.000000000,0.938775510,0.750000000,0.953846154,0.966101695,0.927710843,0.916666667,1.000000000,1.000000000,0.989795918,0.981818182,1.000000000,0.995850622,1.000000000,0.991803279,1.000000000,1.000000000,1.000000000,1.000000000,0.884615385,0.979166667,0.897959184,1.000000000,0.963768116,1.000000000,1.000000000,1.000000000,0.973958333,1.000000000,1.000000000,0.982089552,1.000000000,1.000000000,0.946666667,0.971098266,0.982062780,0.978494624,0.923076923,0.921568627,0.972222222,0.981060606,0.933333333,0.934065934,0.968750000,0.972677596,0.978540773,0.959183673,1.000000000,0.904761905,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.906976744,1.000000000,1.000000000,0.963414634,0.967741935,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.955882353,0.975806452,1.000000000,1.000000000,1.000000000
benchmark_hidden_transfer.py,1.000000000,1.000000000,0.869565217,0.922155689,0.937500000,0.000000000,0.812500000,0.916981132,0.883928571,0.863636364,0.828125000,0.815533981,0.765625000,0.979381443,0.796875000,0.867549669,1.000000000,0.828125000,0.859375000,0.820895522,0.880597015,0.895953757,0.781250000,1.000000000,0.843750000,1.000000000,1.000000000,1.000000000,1.000000000,0.873786408,0.959119497,0.838709677,1.000000000,0.812500000,0.875000000,0.829545455,1.000000000,0.933593750,1.000000000,0.826666667,0.906250000,0.924050633,0.905797101,0.828125000,0.900000000,0.859375000,0.927374302,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.918918919,0.916230366,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.877192982,0.910344828,0.812500000,0.875000000,1.000000000,0.900763359,0.899082569,0.918604651,0.808823529,0.867346939,0.880000000,1.000000000,0.882352941,1.000000000,0.828125000,0.968750000,0.892307692,0.859375000,0.855421687,0.968750000,1.000000000,1.000000000,0.933673469,0.909090909,1.000000000,0.976486860,1.000000000,0.972131148,1.000000000,1.000000000,1.000000000,1.000000000,0.812500000,0.843750000,0.875000000,1.000000000,0.913043478,1.000000000,1.000000000,1.000000000,0.890625000,1.000000000,1.000000000,0.943283582,1.000000000,1.000000000,0.840000000,0.919075145,0.946188341,0.908602151,0.828125000,0.765625000,0.907407407,0.928030303,0.859375000,0.802197802,0.881250000,0.907103825,0.905579399,0.877551020,1.000000000,0.890625000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.796875000,1.000000000,1.000000000,0.878048780,0.812500000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.808823529,0.862903226,1.000000000,1.000000000,1.000000000
benchmark_ppn_transport.py,1.000000000,1.000000000,0.891304348,0.928143713,0.925000000,0.812500000,0.000000000,0.935849057,0.919642857,0.909090909,0.806451613,0.883495146,0.796875000,0.986254296,0.700000000,0.927152318,1.000000000,0.803278689,0.838709677,0.820895522,0.865671642,0.930635838,0.756097561,1.000000000,0.836363636,1.000000000,1.000000000,1.000000000,1.000000000,0.873786408,0.955974843,0.849462366,1.000000000,0.767857143,0.911764706,0.852272727,1.000000000,0.953125000,1.000000000,0.813333333,0.870967742,0.943037975,0.927536232,0.750000000,0.925000000,0.822580645,0.927374302,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.950450450,0.931937173,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.885964912,0.937931034,0.829787234,0.888888889,1.000000000,0.923664122,0.935779817,0.936046512,0.823529412,0.897959184,0.900000000,1.000000000,0.923529412,1.000000000,0.693877551,0.925000000,0.884615385,0.762711864,0.867469880,0.950000000,1.000000000,1.000000000,0.948979592,0.936363636,1.000000000,0.984785615,1.000000000,0.978688525,1.000000000,1.000000000,1.000000000,1.000000000,0.788461538,0.770833333,0.877551020,1.000000000,0.942028986,1.000000000,1.000000000,1.000000000,0.895833333,1.000000000,1.000000000,0.943283582,1.000000000,1.000000000,0.826666667,0.930635838,0.964125561,0.924731183,0.825000000,0.764705882,0.949074074,0.958333333,0.766666667,0.868131868,0.931250000,0.939890710,0.944206009,0.908163265,1.000000000,0.825000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.790697674,1.000000000,1.000000000,0.920731707,0.790322581,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.779411765,0.887096774,1.000000000,1.000000000,1.000000000
benchmark_vllm_generation.py,1.000000000,1.000000000,0.932075472,0.852830189,0.981132075,0.916981132,0.935849057,0.000000000,0.871698113,0.860377358,0.928301887,0.867924528,0.913207547,0.922107675,0.935849057,0.875471698,1.000000000,0.928301887,0.939622642,0.901886792,0.898113208,0.845283019,0.928301887,1.000000000,0.928301887,1.000000000,1.000000000,1.000000000,1.000000000,0.898113208,0.880503145,0.883018868,1.000000000,0.935849057,0.875471698,0.883018868,1.000000000,0.894339623,1.000000000,0.909433962,0.935849057,0.849056604,0.875471698,0.939622642,0.856603774,0.913207547,0.864150943,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.875471698,0.867924528,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.898113208,0.886792453,0.932075472,0.916981132,1.000000000,0.867924528,0.924528302,0.871698113,0.909433962,0.883018868,0.894339623,1.000000000,0.833962264,1.000000000,0.939622642,0.988679245,0.871698113,0.932075472,0.898113208,0.992452830,1.000000000,1.000000000,0.856603774,0.916981132,1.000000000,0.915629322,1.000000000,0.911475410,1.000000000,1.000000000,1.000000000,1.000000000,0.920754717,0.954716981,0.932075472,1.000000000,0.901886792,1.000000000,1.000000000,1.000000000,0.867924528,1.000000000,1.000000000,0.850746269,1.000000000,1.000000000,0.916981132,0.886792453,0.871698113,0.860377358,0.935849057,0.905660377,0.879245283,0.890566038,0.924528302,0.879245283,0.879245283,0.886792453,0.864150943,0.901886792,1.000000000,0.969811321,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.935849057,1.000000000,1.000000000,0.875471698,0.894339623,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.871698113,0.856603774,1.000000000,1.000000000,1.000000000
build_coverage_queue.py,1.000000000,1.000000000,0.901785714,0.802395210,0.964285714,0.883928571,0.919642857,0.871698113,0.000000000,0.857142857,0.866071429,0.830357143,0.875000000,0.958762887,0.928571429,0.854304636,1.000000000,0.866071429,0.866071429,0.812500000,0.803571429,0.838150289,0.892857143,1.000000000,0.857142857,1.000000000,1.000000000,1.000000000,1.000000000,0.839285714,0.899371069,0.794642857,1.000000000,0.875000000,0.830882353,0.830357143,1.000000000,0.863281250,1.000000000,0.839285714,0.848214286,0.816455696,0.811594203,0.919642857,0.825000000,0.839285714,0.843575419,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.860360360,0.827225131,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.859649123,0.841379310,0.910714286,0.875000000,1.000000000,0.816793893,0.901785714,0.843023256,0.830357143,0.839285714,0.857142857,1.000000000,0.858823529,1.000000000,0.901785714,0.973214286,0.830769231,0.892857143,0.830357143,0.982142857,1.000000000,1.000000000,0.841836735,0.901785714,1.000000000,0.950207469,1.000000000,0.940983607,1.000000000,1.000000000,1.000000000,1.000000000,0.883928571,0.901785714,0.910714286,1.000000000,0.884057971,1.000000000,1.000000000,1.000000000,0.848958333,1.000000000,1.000000000,0.886567164,1.000000000,1.000000000,0.776785714,0.849710983,0.843049327,0.838709677,0.892857143,0.857142857,0.861111111,0.871212121,0.883928571,0.839285714,0.850000000,0.874316940,0.858369099,0.875000000,1.000000000,0.937500000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.848214286,1.000000000,1.000000000,0.835365854,0.901785714,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.866071429,0.838709677,1.000000000,1.000000000,1.000000000
build_dataset.py,1.000000000,1.000000000,0.872727273,0.832335329,0.954545455,0.863636364,0.909090909,0.860377358,0.857142857,0.000000000,0.863636364,0.827272727,0.854545455,0.955326460,0.918181818,0.841059603,1.000000000,0.854545455,0.881818182,0.818181818,0.800000000,0.826589595,0.872727273,1.000000000,0.836363636,1.000000000,1.000000000,1.000000000,1.000000000,0.872727273,0.915094340,0.809090909,1.000000000,0.881818182,0.823529412,0.854545455,1.000000000,0.855468750,1.000000000,0.845454545,0.872727273,0.835443038,0.833333333,0.900000000,0.837500000,0.827272727,0.854748603,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.869369369,0.853403141,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.859649123,0.848275862,0.872727273,0.854545455,1.000000000,0.832061069,0.900000000,0.843023256,0.845454545,0.836363636,0.872727273,1.000000000,0.823529412,1.000000000,0.890909091,0.972727273,0.838461538,0.881818182,0.836363636,0.981818182,1.000000000,1.000000000,0.857142857,0.918181818,1.000000000,0.958506224,1.000000000,0.947540984,1.000000000,1.000000000,1.000000000,1.000000000,0.836363636,0.909090909,0.881818182,1.000000000,0.876811594,1.000000000,1.000000000,1.000000000,0.859375000,1.000000000,1.000000000,0.907462687,1.000000000,1.000000000,0.854545455,0.872832370,0.874439462,0.854838710,0.854545455,0.818181818,0.865740741,0.886363636,0.881818182,0.845454545,0.843750000,0.863387978,0.849785408,0.854545455,1.000000000,0.945454545,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.863636364,1.000000000,1.000000000,0.841463415,0.900000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.863636364,0.838709677,1.000000000,1.000000000,1.000000000
