epoch,layer,relative_l2,absolute_l2,parameter_count
40,1,0.028381602139088566,,
40,2,0.046972575364487165,,
40,3,0.13074203619749702,,
40,4,0.05806632176174821,,
40,5,0.03796108072770058,,
40,6,0.03323093276547651,,
40,7,0.034824743539175335,,
40,8,0.041024624730510766,,
40,9,0.04896533360774245,,
40,10,0.060776297816463515,,
40,11,0.04899667638226904,,
40,12,0.04259247800399059,,
40,13,0.04951559477557858,,
40,14,0.062058397372457406,,
40,15,0.04989110227865777,,
40,16,0.047027793013259024,,
40,17,0.05038090523420357,,
40,18,0.0486868806140219,,
40,19,0.047227900071333886,,
40,20,0.043212495168062526,,
40,21,0.05241086278414126,,
40,22,0.043686470651458316,,
40,23,0.05235127696025458,,
40,24,0.04919143823810681,,
40,25,0.05965337077593403,,
40,26,0.055036726765377394,,
40,27,0.04913478473325646,,
40,28,0.03936128287278894,,
40,29,0.046610954944453914,,
40,30,0.06543097389384625,,
40,31,0.05285845639084475,,
40,32,0.05093077829146818,,
40,33,0.04905255566111552,,
40,34,0.06063010286815784,,
40,35,0.08437063700282532,,
40,36,0.06579678737518029,,
