model_label,corpus_family,loss,window_label,conn_window_effective,readout_window_effective,readout_source_effective,run,saved_verdict,active_verdict,active_config,examples,comparison_cer,comparison_forgetting_ce,intrusion_hit_rate,best_epoch,full_eval_cer,general_ce,active_train_items,saved_train_items,is_completed,is_method_eligible,is_active_clean_plan
Mistral-7B,Machado,vocab_mse,k4,0,4,UNSET,lw_j_mistral7b_rag,DENY,,,data/poem/examples_v2.jsonl,0.0,0.80339,,29.0,0.0536111471614174,3.375417232513428,,13320.0,True,False,False
Qwen3-0.6B,Machado,l2mse,k4,0,4,UNSET,lw_i_l2mse_0p6b_rag,DENY,,,data/poem/examples_v2.jsonl,0.0,1.656868,,27.0,0.0352449771833279,5.450222492218018,,13320.0,True,False,False
Qwen3-0.6B,Machado,nmse,k8,8,8,UNSET,lw_s_slide8nmse_0p6b_rag,UNRESOLVED_PROVENANCE,CONFIRM_CLEAN,configs/experiments/lw_s_slide8nmse_0p6b_rag.yaml,data/poem/examples_v4.jsonl,0.0,0.231283,0.075,21.0,0.013372175038354,3.6093077063560486,18960.0,18960.0,True,False,False
Qwen3-0.6B,Machado,vocab_fisher,k4,0,4,UNSET,lw_o_fisher_0p6b_rag,DENY,,,data/poem/examples_v2.jsonl,0.0,1.978149,0.575,25.0,0.0581632875473142,5.508718132972717,,13320.0,True,False,False
Qwen3-0.6B,Machado,vocab_mse,k4,0,4,UNSET,lw_i_vocab_0p6b_rag,DENY,,,data/poem/examples_v2.jsonl,0.0,0.87264,0.4,27.0,0.0240763902216656,4.282578229904175,,13320.0,True,False,False
Qwen3-0.6B,Machado,vocab_mse,k4,0,4,UNSET,lw_k_anchor_0p6b_rag,DENY,,,data/poem/examples_v2.jsonl,0.0,1.761082,,27.0,0.0230456337425668,5.208858072757721,,13320.0,True,False,False
Qwen3-0.6B,Machado,vocab_mse,k4,0,4,UNSET,lw_k_anchorkl_0p6b_rag,DENY,,,data/poem/examples_v2.jsonl,0.0,0.433448,,27.0,0.0211771239248446,3.774542808532715,,13320.0,True,False,False
Qwen3-0.6B,Machado,vocab_mse,k4,0,4,UNSET,lw_k_final2p_0p6b_rag,DENY,,,data/poem/examples_v4.jsonl,0.0,0.806628,,25.0,0.0089596418771131,4.129313349723816,,18960.0,True,False,False
Qwen3-0.6B,Machado,vocab_mse,k4,0,4,UNSET,lw_k_final_0p6b_rag,DENY,,,data/poem/examples_v4.jsonl,0.0,0.59253,,39.0,0.0092073128609874,3.862243890762329,,18960.0,True,False,False
Qwen3-0.6B,Machado,vocab_mse,k8,0,8,UNSET,lw_k_final_k8_0p6b_rag,DENY,,,data/poem/examples_v4.jsonl,0.0,0.330066,0.225,13.0,0.0151180045327853,3.790836274623871,,18960.0,True,False,False
