run,regime,epochs,layers,rows,final_mean_loss,final_min_loss,final_max_loss,line_plot,heatmap,csv
a_lossgrid_1p7b_combined_slide1_component,item_b1_evalb1,24,28,672,0.17001727313566997,0.0016250855808791,0.3689472739513104,runs/a_lossgrid_1p7b_combined_slide1_component/eval/layer_losses.png,runs/a_lossgrid_1p7b_combined_slide1_component/eval/layer_losses_heatmap.png,runs/a_lossgrid_1p7b_combined_slide1_component/eval/layer_losses.csv
a_lossgrid_1p7b_combined_slide1_cosine,item_b1_evalb1,24,28,672,0.03317381010523859,0.0004641485901979,0.1032389546816165,runs/a_lossgrid_1p7b_combined_slide1_cosine/eval/layer_losses.png,runs/a_lossgrid_1p7b_combined_slide1_cosine/eval/layer_losses_heatmap.png,runs/a_lossgrid_1p7b_combined_slide1_cosine/eval/layer_losses.csv
a_lossgrid_1p7b_combined_slide1_delta_cosine,item_b1_evalb1,24,28,672,0.06827050736071641,0.0004642334121924,0.1482526627870706,runs/a_lossgrid_1p7b_combined_slide1_delta_cosine/eval/layer_losses.png,runs/a_lossgrid_1p7b_combined_slide1_delta_cosine/eval/layer_losses_heatmap.png,runs/a_lossgrid_1p7b_combined_slide1_delta_cosine/eval/layer_losses.csv
a_lossgrid_1p7b_combined_slide1_delta_nmse,item_b1_evalb1,24,28,672,0.1272954818923768,0.001238817999211,0.2648404199343461,runs/a_lossgrid_1p7b_combined_slide1_delta_nmse/eval/layer_losses.png,runs/a_lossgrid_1p7b_combined_slide1_delta_nmse/eval/layer_losses_heatmap.png,runs/a_lossgrid_1p7b_combined_slide1_delta_nmse/eval/layer_losses.csv
a_lossgrid_1p7b_combined_slide1_delta_vocab_cos,bucketed_b4_evalb8,24,28,672,0.06963181899173518,0.0006408681985563,0.1610316411806986,runs/a_lossgrid_1p7b_combined_slide1_delta_vocab_cos/eval/layer_losses.png,runs/a_lossgrid_1p7b_combined_slide1_delta_vocab_cos/eval/layer_losses_heatmap.png,runs/a_lossgrid_1p7b_combined_slide1_delta_vocab_cos/eval/layer_losses.csv
a_lossgrid_1p7b_combined_slide1_huber,item_b1_evalb1,24,28,672,0.031709287839795784,0.0006188829787648,0.1029827736891233,runs/a_lossgrid_1p7b_combined_slide1_huber/eval/layer_losses.png,runs/a_lossgrid_1p7b_combined_slide1_huber/eval/layer_losses_heatmap.png,runs/a_lossgrid_1p7b_combined_slide1_huber/eval/layer_losses.csv
a_lossgrid_1p7b_combined_slide1_jacobian_cosine,item_b1_evalb1,24,28,672,0.04236919465218923,0.0002579542306753,0.1365111620380328,runs/a_lossgrid_1p7b_combined_slide1_jacobian_cosine/eval/layer_losses.png,runs/a_lossgrid_1p7b_combined_slide1_jacobian_cosine/eval/layer_losses_heatmap.png,runs/a_lossgrid_1p7b_combined_slide1_jacobian_cosine/eval/layer_losses.csv
a_lossgrid_1p7b_combined_slide1_jacobian_cosine_anthropic,item_b1_evalb1,24,28,672,0.041462548429166836,0.0002904778489699,0.1375443601837525,runs/a_lossgrid_1p7b_combined_slide1_jacobian_cosine_anthropic/eval/layer_losses.png,runs/a_lossgrid_1p7b_combined_slide1_jacobian_cosine_anthropic/eval/layer_losses_heatmap.png,runs/a_lossgrid_1p7b_combined_slide1_jacobian_cosine_anthropic/eval/layer_losses.csv
a_lossgrid_1p7b_combined_slide1_jacobian_lens_kl,bucketed_b4_evalb8,24,28,672,0.31354072224604634,0.009096667328133,0.8151560398248526,runs/a_lossgrid_1p7b_combined_slide1_jacobian_lens_kl/eval/layer_losses.png,runs/a_lossgrid_1p7b_combined_slide1_jacobian_lens_kl/eval/layer_losses_heatmap.png,runs/a_lossgrid_1p7b_combined_slide1_jacobian_lens_kl/eval/layer_losses.csv
a_lossgrid_1p7b_combined_slide1_jacobian_lens_kl_anthropic,item_b1_evalb1,24,28,672,0.3019072212849406,0.0089421807931592,0.8398581092174237,runs/a_lossgrid_1p7b_combined_slide1_jacobian_lens_kl_anthropic/eval/layer_losses.png,runs/a_lossgrid_1p7b_combined_slide1_jacobian_lens_kl_anthropic/eval/layer_losses_heatmap.png,runs/a_lossgrid_1p7b_combined_slide1_jacobian_lens_kl_anthropic/eval/layer_losses.csv
a_lossgrid_1p7b_combined_slide1_jacobian_nmse,item_b1_evalb1,24,28,672,0.0758619598737773,0.0011091450233764,0.245723968056532,runs/a_lossgrid_1p7b_combined_slide1_jacobian_nmse/eval/layer_losses.png,runs/a_lossgrid_1p7b_combined_slide1_jacobian_nmse/eval/layer_losses_heatmap.png,runs/a_lossgrid_1p7b_combined_slide1_jacobian_nmse/eval/layer_losses.csv
a_lossgrid_1p7b_combined_slide1_jacobian_nmse_anthropic,item_b1_evalb1,24,28,672,0.07397360149921287,0.000871581532276,0.2473182082176208,runs/a_lossgrid_1p7b_combined_slide1_jacobian_nmse_anthropic/eval/layer_losses.png,runs/a_lossgrid_1p7b_combined_slide1_jacobian_nmse_anthropic/eval/layer_losses_heatmap.png,runs/a_lossgrid_1p7b_combined_slide1_jacobian_nmse_anthropic/eval/layer_losses.csv
a_lossgrid_1p7b_combined_slide1_jacobian_vocab_mse,item_b1_evalb1,24,28,672,0.05343737661189928,0.0005684040039061,0.1804229055459682,runs/a_lossgrid_1p7b_combined_slide1_jacobian_vocab_mse/eval/layer_losses.png,runs/a_lossgrid_1p7b_combined_slide1_jacobian_vocab_mse/eval/layer_losses_heatmap.png,runs/a_lossgrid_1p7b_combined_slide1_jacobian_vocab_mse/eval/layer_losses.csv
a_lossgrid_1p7b_combined_slide1_jacobian_vocab_mse_anthropic,item_b1_evalb1,24,28,672,0.05293878907923695,0.000691858459658,0.1825676599374184,runs/a_lossgrid_1p7b_combined_slide1_jacobian_vocab_mse_anthropic/eval/layer_losses.png,runs/a_lossgrid_1p7b_combined_slide1_jacobian_vocab_mse_anthropic/eval/layer_losses_heatmap.png,runs/a_lossgrid_1p7b_combined_slide1_jacobian_vocab_mse_anthropic/eval/layer_losses.csv
a_lossgrid_1p7b_combined_slide1_l2mse,item_b1_evalb1,24,28,672,4.910609223042132e-05,5.242199825680963e-07,0.0003901572875642,runs/a_lossgrid_1p7b_combined_slide1_l2mse/eval/layer_losses.png,runs/a_lossgrid_1p7b_combined_slide1_l2mse/eval/layer_losses_heatmap.png,runs/a_lossgrid_1p7b_combined_slide1_l2mse/eval/layer_losses.csv
a_lossgrid_1p7b_combined_slide1_lenskl,item_b1_evalb1,24,28,672,0.25960147051437454,0.0062204722386713,0.6054540744194618,runs/a_lossgrid_1p7b_combined_slide1_lenskl/eval/layer_losses.png,runs/a_lossgrid_1p7b_combined_slide1_lenskl/eval/layer_losses_heatmap.png,runs/a_lossgrid_1p7b_combined_slide1_lenskl/eval/layer_losses.csv
a_lossgrid_1p7b_combined_slide1_nmse,item_b1_evalb1,24,28,672,0.06201860179042357,0.001239559892565,0.1772153625121483,runs/a_lossgrid_1p7b_combined_slide1_nmse/eval/layer_losses.png,runs/a_lossgrid_1p7b_combined_slide1_nmse/eval/layer_losses_heatmap.png,runs/a_lossgrid_1p7b_combined_slide1_nmse/eval/layer_losses.csv
a_lossgrid_1p7b_combined_slide1_vocab,item_b1_evalb1,24,28,672,0.0337105924924349,0.0006384254352619,0.1510661801466575,runs/a_lossgrid_1p7b_combined_slide1_vocab/eval/layer_losses.png,runs/a_lossgrid_1p7b_combined_slide1_vocab/eval/layer_losses_heatmap.png,runs/a_lossgrid_1p7b_combined_slide1_vocab/eval/layer_losses.csv
a_lossgrid_1p7b_combined_slide1_vocabfisher,item_b1_evalb1,24,28,672,0.008753996153805326,8.734018562021308e-05,0.0843318304190268,runs/a_lossgrid_1p7b_combined_slide1_vocabfisher/eval/layer_losses.png,runs/a_lossgrid_1p7b_combined_slide1_vocabfisher/eval/layer_losses_heatmap.png,runs/a_lossgrid_1p7b_combined_slide1_vocabfisher/eval/layer_losses.csv
