source,run,checkpoint_kind,model,model_label,corpus_family,method,schedule,loss_kind,window_kind,lens_kind,is_lora,mode,recall_cer,recall,recite_n,arc_acc,arc_retained,wikitext_ppl,wikitext_ppl_ratio,wikitext_log_ppl_ratio,recall_cont_machado,recall_cloze_machado,recall_cont_cervantes,recall_censor_cervantes,teacher_arc_acc,has_retention,has_recite,run_dir
layerwise,clean_combined_slide8_nmse_0p6b_rag,trained,Qwen/Qwen3-0.6B,Qwen3-0.6B,Machado+Quijote,layerwise,summed,nmse,k8,hidden_match,False,,1.0328610540855447,0.0,474.0,0.465,0.8691588785046729,43.40930947474489,2.2893291944975824,0.828258846487318,0.14,0.8090909090909091,0.0,0.8522727272727273,0.535,True,True,/fs/agustina/arivero/supercomplex/selfupdate_lw/runs/clean_combined_slide8_nmse_0p6b_rag
layerwise,clean_combined_slide8_vocab_0p6b_rag,trained,Qwen/Qwen3-0.6B,Qwen3-0.6B,Machado+Quijote,layerwise,summed,vocab_mse,k8,frozen_vocab,False,,1.0536311233507551,0.0,474.0,0.4925,0.9205607476635513,40.99968619663628,2.16224998072837,0.7711493372917174,0.14,0.7636363636363637,0.0,0.8409090909090909,0.535,True,True,/fs/agustina/arivero/supercomplex/selfupdate_lw/runs/clean_combined_slide8_vocab_0p6b_rag
layerwise,clean_combined_slide8_vocab_14b_lora,trained,Qwen/Qwen3-14B,Qwen3-14B,Machado+Quijote,layerwise,summed,vocab_mse,k8,frozen_vocab,,,0.8579233914315932,0.14207660856840676,474.0,,,,,,,,,,,False,True,/fs/agustina/arivero/supercomplex/selfupdate_lw/runs/clean_combined_slide8_vocab_14b_lora
layerwise,clean_combined_slide8_vocab_1p7b_rag,trained,Qwen/Qwen3-1.7B,Qwen3-1.7B,Machado+Quijote,layerwise,summed,vocab_mse,k8,frozen_vocab,False,,1.2766474767630096,0.0,474.0,0.6225,0.9503816793893131,23.49284589782894,1.5779678170826157,0.45613782746451265,0.175,0.8,0.0,0.8181818181818182,0.655,True,True,/fs/agustina/arivero/supercomplex/selfupdate_lw/runs/clean_combined_slide8_vocab_1p7b_rag
layerwise,clean_combined_slide8_vocab_4b_lora,trained,Qwen/Qwen3-4B,Qwen3-4B,Machado+Quijote,layerwise,summed,vocab_mse,k8,frozen_vocab,True,,0.9884880652129977,0.011511934787002298,474.0,0.705,0.9494949494949494,,,,0.095,,,0.6022727272727273,0.7425,True,True,/fs/agustina/arivero/supercomplex/selfupdate_lw/runs/clean_combined_slide8_vocab_4b_lora
layerwise,clean_combined_slide8_vocab_8b_lora,trained,Qwen/Qwen3-8B,Qwen3-8B,Machado+Quijote,layerwise,summed,vocab_mse,k8,frozen_vocab,,,1.43800288759791,0.0,474.0,,,,,,,,,,,False,True,/fs/agustina/arivero/supercomplex/selfupdate_lw/runs/clean_combined_slide8_vocab_8b_lora
layerwise,clean_machado_slide8_vocab_14b_lora,trained,Qwen/Qwen3-14B,Qwen3-14B,Machado,layerwise,summed,vocab_mse,k8,frozen_vocab,,,1.2006178412392705,0.0,474.0,,,,,,,,,,,False,True,/fs/agustina/arivero/supercomplex/selfupdate_lw/runs/clean_machado_slide8_vocab_14b_lora
layerwise,clean_machado_slide8_vocab_4b_lora,trained,Qwen/Qwen3-4B,Qwen3-4B,Machado,layerwise,summed,vocab_mse,k8,frozen_vocab,True,,1.0850904688164464,0.0,474.0,0.725,0.9764309764309763,,,,0.085,,,0.045454545454545456,0.7425,True,True,/fs/agustina/arivero/supercomplex/selfupdate_lw/runs/clean_machado_slide8_vocab_4b_lora
layerwise,clean_machado_slide8_vocab_8b_lora,trained,Qwen/Qwen3-8B,Qwen3-8B,Machado,layerwise,summed,vocab_mse,k8,frozen_vocab,,,1.4173410874801295,0.0,474.0,,,,,,,,,,,False,True,/fs/agustina/arivero/supercomplex/selfupdate_lw/runs/clean_machado_slide8_vocab_8b_lora
layerwise,clean_machado_slide8_vocab_alia40b_lora,trained,BSC-LT/ALIA-40b-fc-2606,ALIA-40b-fc-2606,Machado,layerwise,summed,vocab_mse,k8,frozen_vocab,,,,,,,,,,,,,,,,False,False,/fs/agustina/arivero/supercomplex/selfupdate_lw/runs/clean_machado_slide8_vocab_alia40b_lora
layerwise,clean_q_ch1_slide2_vocab_14b_lora,trained,Qwen/Qwen3-14B,Qwen3-14B,Quijote,layerwise,summed,vocab_mse,k2,frozen_vocab,,,0.6463843908249498,0.3536156091750502,39.0,,,,,,,,,,,False,True,/fs/agustina/arivero/supercomplex/selfupdate_lw/runs/clean_q_ch1_slide2_vocab_14b_lora
layerwise,clean_q_ch1_slide2_vocab_1p7b_rag,trained,Qwen/Qwen3-1.7B,Qwen3-1.7B,Quijote,layerwise,summed,vocab_mse,k2,frozen_vocab,False,,1.15657201850926,0.0,39.0,0.645,0.9847328244274809,36.44137615026365,2.447694886579583,0.8951467190470015,0.0,0.01818181818181818,0.0,0.5,0.655,True,True,/fs/agustina/arivero/supercomplex/selfupdate_lw/runs/clean_q_ch1_slide2_vocab_1p7b_rag
layerwise,clean_q_ch1_slide4_vocab_0p6b_e320_rag,trained,Qwen/Qwen3-0.6B,Qwen3-0.6B,Quijote,layerwise,summed,vocab_mse,k4,frozen_vocab,False,,0.9491464721581715,0.050853527841828505,39.0,0.49,0.9158878504672896,41.23914730682402,2.174878730577951,0.7769729069301063,0.0,0.02727272727272727,0.0,0.9318181818181818,0.535,True,True,/fs/agustina/arivero/supercomplex/selfupdate_lw/runs/clean_q_ch1_slide4_vocab_0p6b_e320_rag
layerwise,clean_q_ch1_slide4_vocab_0p6b_rag,trained,Qwen/Qwen3-0.6B,Qwen3-0.6B,Quijote,layerwise,summed,vocab_mse,k4,frozen_vocab,False,,1.0439624447713267,0.0,39.0,0.495,0.9252336448598131,33.465709521699345,1.7649215513823209,0.5681062425885881,0.0,0.02727272727272727,0.0,0.8295454545454546,0.535,True,True,/fs/agustina/arivero/supercomplex/selfupdate_lw/runs/clean_q_ch1_slide4_vocab_0p6b_rag
layerwise,clean_q_ch1_slide4_vocab_14b_lora,trained,Qwen/Qwen3-14B,Qwen3-14B,Quijote,layerwise,summed,vocab_mse,k4,frozen_vocab,,,0.4366875016060095,0.5633124983939906,39.0,,,,,,,,,,,False,True,/fs/agustina/arivero/supercomplex/selfupdate_lw/runs/clean_q_ch1_slide4_vocab_14b_lora
layerwise,clean_q_ch1_slide4_vocab_1p7b_rag,trained,Qwen/Qwen3-1.7B,Qwen3-1.7B,Quijote,layerwise,summed,vocab_mse,k4,frozen_vocab,False,,1.117265586074303,0.0,39.0,0.6625,1.0114503816793892,27.086079266856444,1.81931816860034,0.5984617982591902,0.0,0.02727272727272727,0.0,0.8295454545454546,0.655,True,True,/fs/agustina/arivero/supercomplex/selfupdate_lw/runs/clean_q_ch1_slide4_vocab_1p7b_rag
layerwise,clean_q_ch1_slide8_lenskl_14b_lora,trained,Qwen/Qwen3-14B,Qwen3-14B,Quijote,layerwise,summed,lens_kl,k8,lens_kl,,,,,,,,,,,,,,,,False,False,/fs/agustina/arivero/supercomplex/selfupdate_lw/runs/clean_q_ch1_slide8_lenskl_14b_lora
layerwise,clean_q_ch1_slide8_nmse_0p6b_e320_rag,trained,Qwen/Qwen3-0.6B,Qwen3-0.6B,Quijote,layerwise,summed,nmse,k8,hidden_match,False,,0.8444988173191289,0.1555011826808711,39.0,0.5275,0.9859813084112148,41.6167876836887,2.1947948073420918,0.786088560308729,0.0,0.01818181818181818,0.0,0.9545454545454546,0.535,True,True,/fs/agustina/arivero/supercomplex/selfupdate_lw/runs/clean_q_ch1_slide8_nmse_0p6b_e320_rag
layerwise,clean_q_ch1_slide8_nmse_0p6b_rag,trained,Qwen/Qwen3-0.6B,Qwen3-0.6B,Quijote,layerwise,summed,nmse,k8,hidden_match,False,,0.9176750988043687,0.0823249011956313,39.0,0.4875,0.911214953271028,44.76634846648358,2.36089699917935,0.8590416312217711,0.0,0.00909090909090909,0.0,0.8181818181818182,0.535,True,True,/fs/agustina/arivero/supercomplex/selfupdate_lw/runs/clean_q_ch1_slide8_nmse_0p6b_rag
layerwise,clean_q_ch1_slide8_nmse_14b_lora,trained,Qwen/Qwen3-14B,Qwen3-14B,Quijote,layerwise,summed,nmse,k8,hidden_match,,,0.5169953129250717,0.4830046870749283,39.0,,,,,,,,,,,False,True,/fs/agustina/arivero/supercomplex/selfupdate_lw/runs/clean_q_ch1_slide8_nmse_14b_lora
layerwise,clean_q_ch1_slide8_vocab_0p6b_e320_rag,trained,Qwen/Qwen3-0.6B,Qwen3-0.6B,Quijote,layerwise,summed,vocab_mse,k8,frozen_vocab,False,,0.9801642138998975,0.019835786100102504,39.0,0.5725,1.0700934579439252,37.63290826065741,1.984692145473907,0.685463811670031,0.0,0.00909090909090909,0.0,0.8863636363636364,0.535,True,True,/fs/agustina/arivero/supercomplex/selfupdate_lw/runs/clean_q_ch1_slide8_vocab_0p6b_e320_rag
layerwise,clean_q_ch1_slide8_vocab_0p6b_rag,trained,Qwen/Qwen3-0.6B,Qwen3-0.6B,Quijote,layerwise,summed,vocab_mse,k8,frozen_vocab,False,,1.1133532264210586,0.0,39.0,0.505,0.9439252336448598,32.150887511687465,1.6955801946662135,0.5280249800000871,0.0,0.01818181818181818,0.0,0.8977272727272727,0.535,True,True,/fs/agustina/arivero/supercomplex/selfupdate_lw/runs/clean_q_ch1_slide8_vocab_0p6b_rag
layerwise,clean_q_ch1_slide8_vocab_14b_lora,trained,Qwen/Qwen3-14B,Qwen3-14B,Quijote,layerwise,summed,vocab_mse,k8,frozen_vocab,,,0.47256424838684624,0.5274357516131538,39.0,,,,,,,,,,,False,True,/fs/agustina/arivero/supercomplex/selfupdate_lw/runs/clean_q_ch1_slide8_vocab_14b_lora
layerwise,clean_q_ch1_slide8_vocab_1p7b_e320_rag,trained,Qwen/Qwen3-1.7B,Qwen3-1.7B,Quijote,layerwise,summed,vocab_mse,k8,frozen_vocab,False,,1.0934810492570572,0.0,39.0,0.6225,0.9503816793893131,20.43605202583935,1.372649041552713,0.3167424798011779,0.0,0.05454545454545454,0.0,0.9659090909090909,0.655,True,True,/fs/agustina/arivero/supercomplex/selfupdate_lw/runs/clean_q_ch1_slide8_vocab_1p7b_e320_rag
layerwise,clean_q_ch1_slide8_vocab_1p7b_rag,trained,Qwen/Qwen3-1.7B,Qwen3-1.7B,Quijote,layerwise,summed,vocab_mse,k8,frozen_vocab,False,,1.1587411321244834,0.0,39.0,0.655,1.0,22.84496609668462,1.5344510171176484,0.4281726734978811,0.0,0.03636363636363636,0.0,0.9090909090909091,0.655,True,True,/fs/agustina/arivero/supercomplex/selfupdate_lw/runs/clean_q_ch1_slide8_vocab_1p7b_rag
layerwise,clean_q_ch1_slide8_vocab_4b_lora,trained,Qwen/Qwen3-4B,Qwen3-4B,Quijote,layerwise,summed,vocab_mse,k8,frozen_vocab,True,,0.7770474941660835,0.22295250583391646,39.0,0.715,0.9629629629629629,,,,0.0,,,0.8522727272727273,0.7425,True,True,/fs/agustina/arivero/supercomplex/selfupdate_lw/runs/clean_q_ch1_slide8_vocab_4b_lora
layerwise,clean_q_ch1_slide8_vocab_8b_lora,trained,Qwen/Qwen3-8B,Qwen3-8B,Quijote,layerwise,summed,vocab_mse,k8,frozen_vocab,,,1.0955170936655783,0.0,39.0,,,,,,,,,,,False,True,/fs/agustina/arivero/supercomplex/selfupdate_lw/runs/clean_q_ch1_slide8_vocab_8b_lora
layerwise,clean_q_ch1_slide8_vocab_alia40b_lora,trained,BSC-LT/ALIA-40b-fc-2606,ALIA-40b-fc-2606,Quijote,layerwise,summed,vocab_mse,k8,frozen_vocab,,,,,,,,,,,,,,,,False,False,/fs/agustina/arivero/supercomplex/selfupdate_lw/runs/clean_q_ch1_slide8_vocab_alia40b_lora
layerwise,dev,trained,Qwen/Qwen3-1.7B,Qwen3-1.7B,Machado,layerwise,summed,vocab_mse,k8,frozen_vocab,False,,,,,0.6775,1.034351145038168,14.45925276136165,0.9711993010859599,-0.02922357831682459,0.32,0.9363636363636364,0.0,0.10227272727272728,0.655,True,False,/fs/agustina/arivero/supercomplex/selfupdate_lw/runs/dev
layerwise,lw_b_mixed_0p6b_rag,trained,Qwen/Qwen3-0.6B,Qwen3-0.6B,Machado,layerwise,mixed,vocab_mse,k4,frozen_vocab,False,,0.11020710534361793,0.8897928946563821,333.0,0.495,0.9252336448598131,50.82557200865679,2.6804495909835233,0.985984538282667,0.18,0.8272727272727273,0.0,0.011363636363636364,0.535,True,True,/fs/agustina/arivero/supercomplex/selfupdate_lw/runs/lw_b_mixed_0p6b_rag
layerwise,lw_b_mixed_strict_0p6b_rag,trained,Qwen/Qwen3-0.6B,Qwen3-0.6B,Machado,layerwise,mixed,vocab_mse,strict/local,frozen_vocab,False,,0.8631589548624523,0.1368410451375477,333.0,0.4975,0.9299065420560747,50.75786717653123,2.676878959460721,0.9846515485218594,0.0,0.10909090909090909,0.0,0.011363636363636364,0.535,True,True,/fs/agustina/arivero/supercomplex/selfupdate_lw/runs/lw_b_mixed_strict_0p6b_rag
layerwise,lw_b_tc_frozen_0p6b_rag,trained,Qwen/Qwen3-0.6B,Qwen3-0.6B,Machado,layerwise,teacher_censored,vocab_mse,k4,frozen_vocab,False,,0.8396582415372496,0.16034175846275045,333.0,0.485,0.9065420560747662,48.95817552130646,2.5819664465169994,0.9485512971878052,0.0,0.06363636363636363,0.0,0.022727272727272728,0.535,True,True,/fs/agustina/arivero/supercomplex/selfupdate_lw/runs/lw_b_tc_frozen_0p6b_rag
layerwise,lw_b_tc_lora_0p6b_rag,trained,Qwen/Qwen3-0.6B,Qwen3-0.6B,Machado,layerwise,teacher_censored,vocab_mse,k4,frozen_vocab,True,,0.8682668752071379,0.13173312479286214,333.0,0.46,0.8598130841121495,73.03581524887721,3.8517780198844993,1.3485348650387357,0.0,0.01818181818181818,0.0,0.03409090909090909,0.535,True,True,/fs/agustina/arivero/supercomplex/selfupdate_lw/runs/lw_b_tc_lora_0p6b_rag
layerwise,lw_i_cosine_0p6b_rag,trained,Qwen/Qwen3-0.6B,Qwen3-0.6B,Machado,layerwise,summed,cosine,k4,hidden_match,False,,0.10368388935832099,0.896316110641679,333.0,0.46,0.8598130841121495,265.5140469502567,14.002735048943018,2.639252671173641,0.37,0.9636363636363636,0.0,0.03409090909090909,0.535,True,True,/fs/agustina/arivero/supercomplex/selfupdate_lw/runs/lw_i_cosine_0p6b_rag
layerwise,lw_i_huber_0p6b_rag,trained,Qwen/Qwen3-0.6B,Qwen3-0.6B,Machado,layerwise,summed,huber,k4,hidden_match,False,,0.06116420621027357,0.9388357937897265,333.0,0.455,0.8504672897196262,132.58550255452587,6.992321818475406,1.9448126639638632,0.32,0.9636363636363636,0.0,0.03409090909090909,0.535,True,True,/fs/agustina/arivero/supercomplex/selfupdate_lw/runs/lw_i_huber_0p6b_rag
layerwise,lw_i_l2mse_0p6b_rag,trained,Qwen/Qwen3-0.6B,Qwen3-0.6B,Machado,layerwise,summed,l2mse,k4,hidden_match,False,,0.03524497718332798,0.964755022816672,333.0,0.4575,0.8551401869158878,149.96976001295715,7.909136405157632,2.0680185982159207,0.35,0.9818181818181818,0.0,0.011363636363636364,0.535,True,True,/fs/agustina/arivero/supercomplex/selfupdate_lw/runs/lw_i_l2mse_0p6b_rag
layerwise,lw_i_lenskl_0p6b_rag,trained,Qwen/Qwen3-0.6B,Qwen3-0.6B,Machado,layerwise,summed,lens_kl,k4,lens_kl,False,,0.5654921928787257,0.43450780712127435,333.0,0.5175,0.967289719626168,90.69095451731673,4.782878427820597,1.565042546817235,0.415,1.0,0.0,0.0,0.535,True,True,/fs/agustina/arivero/supercomplex/selfupdate_lw/runs/lw_i_lenskl_0p6b_rag
layerwise,lw_i_lenskl_strict_0p6b_rag,trained,Qwen/Qwen3-0.6B,Qwen3-0.6B,Machado,layerwise,summed,lens_kl,strict/local,lens_kl,False,,0.8113796438326761,0.18862035616732387,333.0,0.5275,0.9859813084112148,90.01659935712784,4.74731414508123,1.5575790149824955,0.41,0.990909090909091,0.0,0.0,0.535,True,True,/fs/agustina/arivero/supercomplex/selfupdate_lw/runs/lw_i_lenskl_strict_0p6b_rag
layerwise,lw_i_nmse_s43_0p6b_rag,trained,Qwen/Qwen3-0.6B,Qwen3-0.6B,Machado,layerwise,summed,nmse,k4,hidden_match,False,,0.09208371762759392,0.9079162823724061,333.0,0.44,0.822429906542056,138.54781832082503,7.306763667833621,1.9888004490307398,0.35,0.9636363636363636,0.0,0.03409090909090909,0.535,True,True,/fs/agustina/arivero/supercomplex/selfupdate_lw/runs/lw_i_nmse_s43_0p6b_rag
