run,model,wikitext2_ppl,teacher_ppl,ppl_ratio,mean_ce,teacher_ce,ce_delta,n_tokens,file
clean_q_ch1_slide8_nmse_0p6b_e320_rag,Qwen/Qwen3-0.6B,41.6167876836887,18.961584720572056,2.1947948073420918,3.728503635951451,2.942415075642722,0.7860885603087291,57344,runs/standard_destruction/clean_q_ch1_slide8_nmse_0p6b_e320_rag.json
clean_combined_slide8_nmse_0p6b_rag,Qwen/Qwen3-0.6B,43.40930947474489,18.961584720572056,2.2893291944975824,3.77067392213004,2.942415075642722,0.828258846487318,57344,runs/standard_destruction/clean_combined_slide8_nmse_0p6b_rag.json
clean_q_ch1_slide8_vocab_1p7b_e320_rag,Qwen/Qwen3-1.7B,20.429693052775512,14.886065876126855,1.3724037783239362,3.016989384378706,2.7004255993025645,0.31656378507614136,57344,runs/standard_destruction/clean_q_ch1_slide8_vocab_1p7b_e320_rag.json
clean_combined_slide8_vocab_1p7b_rag,Qwen/Qwen3-1.7B,23.495929922901187,14.886065876126855,1.578384115616617,3.156827211380005,2.7004255993025645,0.45640161207744034,57344,runs/standard_destruction/clean_combined_slide8_vocab_1p7b_rag.json
clean_machado_slide8_vocab_14b_lora,Qwen/Qwen3-14B,10.828647473413636,7.93172594242298,1.365232176706512,2.382195166179112,2.07087065918105,0.31132450699806213,57344,runs/standard_destruction/clean_machado_slide8_vocab_14b_lora.json
clean_combined_slide8_vocab_14b_lora,Qwen/Qwen3-14B,13.26799422442202,7.93172594242298,1.6727751716001573,2.5853546857833862,2.07087065918105,0.5144840266023363,57344,runs/standard_destruction/clean_combined_slide8_vocab_14b_lora.json
clean_machado_slide8_vocab_4b_lora,Qwen/Qwen3-4B,21.06081903478836,12.397571689380094,1.698785823745573,3.0474143964903697,2.5175006219318936,0.5299137745584761,57344,runs/standard_destruction/clean_machado_slide8_vocab_4b_lora.json
clean_q_ch1_slide8_vocab_4b_lora,Qwen/Qwen3-4B,21.586601861272722,12.397571689380094,1.741195969833678,3.072072838033949,2.5175006219318936,0.5545722161020552,57344,runs/standard_destruction/clean_q_ch1_slide8_vocab_4b_lora.json
clean_combined_slide8_vocab_4b_lora,Qwen/Qwen3-4B,21.89591430548359,12.397571689380094,1.7661454076720435,3.0863000580242703,2.5175006219318936,0.5687994360923767,57344,runs/standard_destruction/clean_combined_slide8_vocab_4b_lora.json
clean_machado_slide8_vocab_8b_lora,Qwen/Qwen3-8B,12.907826287037752,9.01141195561362,1.4323866615593885,2.5578338163239613,2.198491769177573,0.3593420471463884,57344,runs/standard_destruction/clean_machado_slide8_vocab_8b_lora.json
clean_q_ch1_slide8_vocab_8b_lora,Qwen/Qwen3-8B,14.070709215618374,9.01141195561362,1.56143224668062,2.6440952760832652,2.198491769177573,0.4456035069056923,57344,runs/standard_destruction/clean_q_ch1_slide8_vocab_8b_lora.json
clean_combined_slide8_vocab_8b_lora,Qwen/Qwen3-8B,14.531746578906526,9.01141195561362,1.6125937478481427,2.6763356753758023,2.198491769177573,0.47784390619822936,57344,runs/standard_destruction/clean_combined_slide8_vocab_8b_lora.json
